city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Aguadilla,Aguadilla,PR,Puerto Rico,72005,Aguadilla,18.4382,-67.1537,228854,1751.5,shape,FALSE,FALSE,America/Puerto_Rico,2,00603 00605,1630035605
Akron,Akron,OH,Ohio,39153,Summit,41.0798,-81.5219,541945,1186.2,shape,FALSE,TRUE,America/New_York,2,44306 44307 44304 44305 44302 44303 44301 44308 44325 44320 44311 44310 44313 44312 44319 44314 44309 44315 44316 44317 44326 44328 44334 44396 44398,1840000791
Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987,590694,1798.3,shape,FALSE,TRUE,America/New_York,2,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,1840000417
Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1054,-106.6465,769986,1159.8,shape,FALSE,TRUE,America/Denver,2,87123 87112 87113 87110 87111 87114 87109 87108 87101 87102 87105 87104 87107 87106 87120 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199,1840019176
Allentown,Allentown,PA,Pennsylvania,42077,Lehigh,40.5961,-75.4756,627863,2754.2,shape,FALSE,TRUE,America/New_York,2,18104 18101 18103 18102 18109 18001 18105,1840001044
Amarillo,Amarillo,TX,Texas,48375,Potter,35.1984,-101.8316,205903,750.2,shape,FALSE,TRUE,America/Chicago,2,79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110 79114 79116 79117 79120 79166 79168 79172 79174 79178 79189,1840019156
Anaheim,Anaheim,CA,California,6059,Orange,33.839,-117.8574,347111,2665.3,shape,FALSE,TRUE,America/Los_Angeles,2,92808 92806 92807 92804 92805 92802 92801 92803 92809 92812 92815 92816 92817 92825 92850 92899,1840019322
Anchorage,Anchorage,AK,Alaska,2020,Anchorage,61.1508,-149.1091,290674,65.8,shape,FALSE,TRUE,America/Anchorage,2,99518 99515 99517 99516 99513 99540 99530 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99510 99511 99514 99520 99521 99522 99523 99524 99529 99599,1840023385
Ann Arbor,Ann Arbor,MI,Michigan,26161,Washtenaw,42.2759,-83.731,308983,1671.9,shape,FALSE,TRUE,America/Detroit,2,48103 48104 48105 48108 48109 48113,1840003172
Antioch,Antioch,CA,California,6013,Contra Costa,37.9787,-121.796,327216,1522.3,shape,FALSE,TRUE,America/Los_Angeles,2,94531 94509,1840018903
